TechInterest,BizInterest,LogicalThinking,Creativity,Leadership,WorkPressure,Teaching,PeopleSkills,Planning,Communication,Stream,SuitableCareer
5,3,2,5,5,3,1,5,1,3,Engineering,Mechanical Engineer
4,4,4,1,1,5,2,5,1,5,Engineering,Mechanical Engineer
3,1,2,1,5,1,4,1,2,3,Medicine,Dentist
1,5,2,1,5,3,2,4,5,4,Medicine,Doctor
3,1,2,3,2,1,5,5,1,1,Law,Lawyer
3,2,3,3,3,3,5,3,3,5,Law,Judge
1,3,4,1,3,1,3,4,2,5,Education,Academic Counselor
2,2,4,5,5,1,2,3,2,1,Education,Academic Counselor
1,1,3,5,3,1,3,3,5,4,Management,Operations Manager
3,1,3,1,1,4,4,5,2,4,Management,Project Manager
2,2,5,5,1,1,3,1,3,3,Design,Fashion Designer
2,1,2,1,3,5,5,3,5,2,Design,Fashion Designer
5,3,3,4,4,1,2,2,2,1,Media,Journalist
1,4,5,2,4,5,5,5,4,4,Media,Journalist
5,4,3,3,4,1,4,1,3,3,Performing Arts,Dancer
5,4,1,2,3,2,4,4,1,2,Performing Arts,Actor
1,5,5,3,1,5,2,1,3,3,Fine Arts,Painter
3,4,1,1,3,1,4,2,4,5,Fine Arts,Illustrator
1,4,5,3,1,2,4,3,2,3,IT,Cloud Architect
2,1,4,2,4,2,3,3,5,2,IT,Cybersecurity Specialist
4,2,2,2,3,5,4,5,1,5,Agriculture,Agronomist
4,5,4,1,3,4,1,3,3,1,Agriculture,Agricultural Scientist
1,4,5,5,4,1,3,4,5,4,Hospitality,Event Planner
1,1,1,5,4,5,1,5,3,1,Hospitality,Event Planner
4,4,4,5,2,1,1,4,5,5,Defense,Navy Officer
1,5,5,3,1,4,4,3,5,2,Defense,Army Officer
3,5,4,5,5,1,3,5,3,3,Sports,Athlete
3,4,5,3,4,3,2,1,2,1,Sports,Sports Analyst
4,1,3,5,4,5,3,5,1,1,Public Services,Forest Officer
4,5,1,1,1,1,3,3,3,3,Public Services,IPS Officer
2,5,1,2,4,1,3,2,2,5,Entrepreneurship,Business Consultant
5,3,1,3,5,5,3,5,4,4,Entrepreneurship,Startup Founder
5,5,2,2,2,3,4,4,2,1,Social Work,Community Organizer
4,1,5,4,5,4,3,2,3,2,Social Work,NGO Worker
5,3,4,5,5,4,2,5,4,3,Science,Physicist
1,5,5,2,3,3,4,2,4,5,Science,Biologist
5,5,4,5,4,3,3,3,3,4,Commerce,Auditor
2,2,4,2,5,3,3,5,4,3,Commerce,Stock Broker
3,2,4,3,3,5,1,3,1,2,Arts,Psychologist
3,2,2,3,5,5,2,3,3,4,Arts,Psychologist
1,4,1,1,1,2,1,3,5,2,Engineering,Electrical Engineer
2,4,5,3,1,1,5,4,4,1,Engineering,Civil Engineer
1,5,2,2,1,2,3,1,2,1,Medicine,Doctor
3,5,2,2,4,2,4,5,4,1,Medicine,Pharmacist
4,4,3,1,4,1,4,5,4,3,Law,Judge
2,2,2,4,5,1,5,4,1,4,Law,Legal Advisor
4,5,2,2,4,4,1,5,2,5,Education,Academic Counselor
2,5,3,1,5,4,5,3,4,3,Education,Teacher
4,5,3,4,1,5,2,2,5,3,Management,Operations Manager
3,1,3,5,2,5,1,4,3,1,Management,Project Manager
1,2,2,1,1,5,2,3,5,2,Design,Interior Designer
2,4,5,2,5,5,5,2,3,2,Design,Interior Designer
4,5,2,1,4,1,5,1,1,1,Media,Editor
3,1,3,1,4,3,4,3,3,2,Media,Journalist
